,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
Thor,4889,5511,7485,11910,25524,25744,4930,10271,32943,4282,9738,22703,12138,11447,10298,3138,4303,6120,5243,7623,6584,4171,7419,21981,2194,15222,2881,10283,3877,10094,4405,4996,12032,3537,10094,15673,12582,2359,4990,2452,9109,21397,5929,3180,34880,9546,24868,28822,10455,27231,7877,23690,8373,20858,4273,16509
Venom,4337,4788,7527,11971,25458,26592,4591,9530,31861,3905,8934,22362,13042,10298,11334,3189,3876,6130,5247,7618,6123,4043,7216,21667,2314,15168,2790,10126,3562,9774,4282,4889,12951,3686,9927,15770,12850,2483,5059,2341,9270,21621,6124,3208,35537,9557,23179,27529,9980,27879,7627,23801,7938,19493,3689,18694
Black Cat,1363,1569,2463,4405,7761,8480,1372,2999,9486,1478,2702,6577,4778,3138,3189,3628,1405,1774,1489,2043,2149,1228,2028,6812,606,4677,932,3320,1138,2990,1795,1259,5049,957,3194,5343,4265,645,1658,704,2575,6655,1730,1157,11403,3111,7319,8810,3275,8004,2499,7616,2341,5979,1252,6634
Black Panther,2016,1966,3086,6404,10331,11589,1942,4012,13713,1923,3726,9612,7508,4303,3876,1405,5062,2747,2045,3000,2894,1750,2771,8750,1025,6699,1209,4344,1790,4343,2583,1920,7904,1328,4458,7369,5452,954,2366,1174,3596,9601,2236,1458,15887,4174,10237,11765,4218,11429,3529,10627,3498,8491,1871,9508
Black Widow,3047,2938,5780,8219,17867,19581,3400,5695,27511,3258,5735,16116,6746,6120,6130,1774,2747,7925,3106,5495,4204,2653,5287,12004,1785,12134,2383,6251,2787,6029,2608,3727,7726,3005,6549,10085,7999,1863,3366,1731,7290,15821,3892,2337,22979,5927,17405,22711,7085,17808,5793,18252,7231,14079,2828,9013
Blade,2045,2539,3580,7254,13081,13988,2547,4804,16541,2175,4563,12369,6391,5243,5247,1489,2045,3106,5975,4542,3130,2246,3813,10404,1255,7416,1447,5378,2253,5410,2525,3208,6375,2065,5090,8260,5933,1507,2668,1345,5158,10608,2911,1579,18545,5012,12783,14614,5428,15452,3914,11962,4136,10714,2223,8360
Cyclops,3380,3535,5431,12045,22728,23095,4210,6852,30282,4669,6792,21234,9104,7623,7618,2043,3000,5495,4542,9700,4113,3676,6634,14388,2422,12677,3078,7251,4435,7769,3729,5917,10344,3971,7515,14027,8285,3158,4252,2757,9310,17454,4599,2485,29740,7884,21311,25270,8374,26569,6320,19051,7034,17850,3905,12315
Daredevil,2778,3081,4946,7997,15035,17643,2840,6234,21318,2145,5447,13956,9738,6584,6123,2149,2894,4204,3130,4113,7329,2548,4320,12884,1351,9841,1834,6997,2315,6419,3071,2734,8994,2054,6849,9713,8379,1294,3190,1493,5799,14858,3538,2119,23272,6041,14554,16207,6532,16341,5154,15922,5504,12746,2448,13473
Deadpool Duelist,1862,1967,3261,6336,11304,11898,2190,3983,14498,2160,4221,10488,5199,4171,4043,1228,1750,2653,2246,3676,2548,5068,3085,8334,1040,6549,1346,4196,1847,4514,2049,2365,5782,1712,4333,7153,4824,1180,2343,1206,4231,9334,2515,1327,15334,3957,12379,12495,4221,12834,3359,9904,3450,8752,1831,7327
Elsa Bloodstone,3395,3683,6874,11350,23239,23902,4603,6799,33379,3817,6614,20598,7861,7419,7216,2028,2771,5287,3813,6634,4320,3085,9548,14403,2011,12494,2281,7126,3326,6998,3157,5123,8624,3326,7172,12248,8099,2440,3912,2119,8936,18111,4339,2735,27985,7734,19720,28645,8948,23483,7718,21732,8025,18576,3467,11487
