,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
The Punisher,-0.74,-0.83,-0.12,-0.98,-0.53,-0.28,-0.98,-0.9,0.1,-1.0,-0.84,-0.47,-0.73,-0.9,-0.7,-0.54,0.15,-0.16,-0.35,0.63,-0.87,-0.27,-0.71,-0.88,0.2,-0.76,-0.95,-0.82,-0.91,-0.92,-0.81,0.17,-0.28,0.64,-0.84,-0.81,-0.57,0.95,-0.63,-0.97,-0.0,-0.16,-0.72,-0.76,0.01,-0.03,-0.5,-0.48,-0.39,-0.56,-0.9,-0.2,-0.96,-0.87,-0.97,-0.26
Winter Soldier,-0.74,-0.92,-0.13,-0.93,-0.55,-0.38,-0.63,-0.86,-0.22,-1.0,-0.85,-0.44,-0.25,-0.76,-0.69,-0.75,-0.17,0.11,-0.2,0.78,-0.94,-0.18,-0.6,-0.9,0.15,-0.77,-0.6,-0.88,-0.34,-0.95,-0.7,0.55,0.05,0.86,-0.81,-0.81,-0.65,0.96,-0.52,-0.87,0.16,-0.0,-0.69,-0.46,0.09,0.11,-0.35,-0.44,-0.47,-0.34,-0.92,-0.08,-0.93,-0.87,-0.91,-0.26
Wolverine,-0.4,-0.8,0.34,-0.53,-0.61,0.56,-0.89,-0.9,0.1,-0.99,-0.67,0.05,0.71,-0.64,-0.85,0.07,0.63,0.6,0.14,0.94,-0.53,0.16,-0.05,-0.71,0.78,-0.23,-0.13,-0.45,0.76,-0.87,-0.27,0.66,0.63,0.92,-0.41,-0.61,-0.02,0.98,0.15,-0.45,0.72,0.69,-0.0,-0.06,0.58,0.41,0.02,0.34,0.12,-0.23,-0.68,0.47,-0.81,-0.65,-0.83,0.06
Adam Warlock,-0.19,-0.53,0.57,-0.81,-0.15,0.22,-0.14,-0.45,0.41,-0.99,-0.49,0.05,0.57,-0.45,0.32,-0.14,0.45,0.65,0.32,0.92,-0.44,0.17,-0.03,-0.48,0.57,-0.28,-0.66,-0.37,-0.21,-0.52,-0.03,0.75,0.78,0.92,-0.5,-0.26,0.07,0.97,0.55,-0.79,0.76,0.46,0.06,-0.0,0.61,0.72,0.23,0.22,0.23,-0.13,-0.47,0.46,-0.62,-0.4,-0.6,0.58
Cloak & Dagger,-0.59,-0.86,-0.21,-0.96,-0.66,-0.39,-0.71,-0.85,-0.27,-1.0,-0.75,-0.49,-0.05,-0.73,-0.51,-0.56,-0.31,-0.19,-0.37,0.69,-0.8,-0.2,-0.54,-0.86,-0.24,-0.77,-0.77,-0.69,-0.61,-0.93,-0.46,0.01,0.24,0.72,-0.78,-0.78,-0.52,0.88,-0.46,-0.9,-0.01,-0.09,-0.58,-0.61,-0.0,0.02,-0.49,-0.51,-0.43,-0.49,-0.91,-0.26,-0.96,-0.88,-0.91,-0.12
Deadpool Strategist,-0.77,-0.85,0.15,-0.94,-0.68,-0.41,-0.79,-0.8,-0.31,-1.0,-0.76,-0.54,-0.15,-0.76,-0.63,-0.83,-0.29,-0.21,-0.29,0.62,-0.84,0.12,-0.61,-0.8,-0.45,-0.81,-0.87,-0.7,-0.76,-0.93,-0.35,0.1,0.23,0.63,-0.79,-0.87,-0.39,0.79,-0.57,-0.95,0.03,-0.11,-0.41,-0.72,-0.02,-0.0,-0.52,-0.51,-0.45,-0.55,-0.85,-0.18,-0.95,-0.9,-0.95,-0.05
Gambit,-0.16,-0.61,0.48,-0.83,-0.2,0.25,-0.15,-0.56,0.15,-0.99,-0.67,-0.1,0.41,-0.34,-0.12,-0.03,0.39,0.33,0.38,0.81,-0.42,0.31,-0.15,-0.54,0.3,-0.47,-0.5,-0.26,-0.15,-0.73,-0.12,0.48,0.53,0.85,-0.41,-0.45,0.1,0.95,-0.02,-0.77,0.5,0.35,-0.02,-0.23,0.49,0.52,-0.0,0.11,0.24,-0.04,-0.73,0.43,-0.79,-0.66,-0.82,0.38
Invisible Woman,-0.71,-0.75,0.2,-0.85,-0.19,0.12,-0.44,-0.74,0.12,-0.99,-0.58,-0.1,0.39,-0.48,-0.4,-0.27,0.34,0.42,0.07,0.86,-0.66,0.22,-0.21,-0.69,0.3,-0.4,-0.46,-0.53,-0.19,-0.84,-0.37,0.53,0.55,0.88,-0.51,-0.38,-0.36,0.96,-0.3,-0.81,0.48,0.44,-0.34,-0.22,0.51,0.51,-0.11,-0.0,-0.01,-0.09,-0.68,0.35,-0.89,-0.73,-0.87,0.33
Jeff The Land Shark,-0.42,-0.74,0.06,-0.83,-0.17,0.16,-0.63,-0.71,0.12,-1.0,-0.63,-0.06,0.5,-0.62,-0.21,-0.3,0.47,0.23,0.23,0.71,-0.57,0.28,-0.26,-0.57,0.21,-0.48,-0.72,-0.4,-0.32,-0.79,-0.34,0.56,0.56,0.91,-0.54,-0.51,-0.12,0.94,-0.19,-0.83,0.39,0.47,-0.12,-0.23,0.43,0.45,-0.24,0.01,-0.0,0.01,-0.73,0.44,-0.89,-0.75,-0.89,0.33
Jubilee,-0.25,-0.56,0.51,-0.72,-0.28,0.22,-0.21,-0.61,0.18,-0.99,-0.53,-0.06,0.35,-0.52,-0.11,-0.16,0.41,0.34,0.17,0.87,-0.62,0.24,-0.0,-0.63,0.18,-0.49,-0.65,-0.22,-0.18,-0.83,-0.17,0.49,0.58,0.89,-0.42,-0.5,0.04,0.96,0.07,-0.83,0.56,0.34,0.23,0.13,0.49,0.55,0.04,0.09,-0.01,-0.0,-0.61,0.43,-0.83,-0.71,-0.78,0.41
Loki,0.23,0.1,0.83,-0.39,0.44,0.74,0.49,-0.0,0.79,-0.98,0.17,0.65,0.87,0.23,0.46,0.51,0.84,0.87,0.89,0.98,0.13,0.84,0.5,-0.07,0.8,0.2,0.61,0.51,0.54,-0.31,0.32,0.98,0.89,0.96,0.29,0.23,0.62,0.99,0.35,-0.01,0.9,0.92,0.68,0.47,0.91,0.85,0.73,0.68,0.73,0.61,-0.0,0.81,-0.47,-0.04,-0.5,0.82
Luna Snow,-0.67,-0.9,-0.14,-0.95,-0.51,-0.2,-0.7,-0.8,-0.2,-1.0,-0.7,-0.44,0.31,-0.71,-0.61,-0.46,0.18,0.07,-0.17,0.68,-0.81,0.05,-0.5,-0.74,0.2,-0.67,-0.82,-0.59,-0.66,-0.91,-0.5,0.18,0.36,0.72,-0.69,-0.7,-0.4,0.93,-0.27,-0.93,0.2,0.08,-0.47,-0.46,0.26,0.18,-0.43,-0.35,-0.44,-0.43,-0.81,-0.0,-0.94,-0.85,-0.93,0.13
Mantis,0.67,0.14,0.94,-0.08,0.72,0.89,0.62,0.61,0.9,-0.98,0.64,0.82,0.93,0.63,0.75,0.92,0.97,0.92,0.87,0.99,0.54,0.89,0.77,0.35,0.95,0.75,0.61,0.45,0.83,0.11,0.8,0.96,0.97,0.98,0.61,0.43,0.85,0.99,0.72,-0.14,0.96,0.93,0.81,0.62,0.96,0.95,0.79,0.89,0.89,0.83,0.47,0.94,-0.0,0.45,-0.11,0.94
Rocket Raccoon,0.43,-0.1,0.83,-0.41,0.59,0.76,0.24,-0.1,0.81,-0.97,0.24,0.69,0.87,0.21,0.62,0.6,0.76,0.81,0.78,0.98,-0.01,0.86,0.56,0.01,0.89,0.3,0.26,0.23,0.64,-0.18,0.64,0.94,0.93,0.99,0.16,0.52,0.53,0.99,0.51,0.04,0.87,0.87,0.65,0.4,0.88,0.9,0.66,0.73,0.75,0.71,0.04,0.85,-0.45,-0.0,-0.38,0.83
Ultron,0.91,0.32,0.83,0.04,0.74,0.83,0.62,0.41,0.92,-0.97,0.5,0.73,0.92,0.57,0.66,0.7,0.01,0.94,0.85,0.99,-0.16,0.81,0.73,0.34,0.97,0.67,0.29,0.57,0.7,0.2,0.74,0.96,0.96,0.99,0.19,0.6,0.81,0.99,0.8,-0.26,0.97,0.91,0.83,0.6,0.91,0.95,0.82,0.87,0.89,0.78,0.5,0.93,0.11,0.38,-0.0,0.95
White Fox,-0.59,-0.89,-0.03,-0.92,-0.54,-0.07,-0.58,-0.84,-0.2,-0.99,-0.76,-0.48,0.13,-0.71,-0.74,-0.61,-0.52,0.24,0.05,0.72,-0.89,-0.34,-0.39,-0.76,0.2,-0.68,-0.81,-0.74,-0.48,-0.92,-0.24,0.24,0.5,0.79,-0.7,-0.68,-0.61,0.92,-0.35,-0.88,0.26,0.26,-0.06,-0.58,0.12,0.05,-0.38,-0.33,-0.33,-0.41,-0.82,-0.13,-0.94,-0.83,-0.95,-0.0
